Date,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Coun to fHandovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
31-Dec-22,SWAS,Cheltenham General Hospital,16,100.00%,14,87.50%,14,87.50%,8,50.00%,8,50.00%,54.09,50.59,44.9,"1,055.60",216.35,697,57.69,3.38
31-Dec-22,EMAS,Chesterfield Royal Hospital,70,100.00%,36,51.43%,1,1.43%,0,0.00%,0,0.00%,15.3,0.13,0,30.22,16.67,24.65,19.44,0.22
31-Dec-22,WMAS,City (Birmingham),64,100.00%,32,50.00%,13,20.31%,4,6.25%,3,4.69%,16.78,12.02,7.74,244.43,28.5,52.17,30.4,0.26
31-Dec-22,EEAST,Colchester General Hospital,41,47.67%,40,97.56%,22,53.66%,12,29.27%,9,21.95%,31.64,24.08,15.8,227.23,61.21,152.7,41.83,0.77
31-Dec-22,SECAmb,Conquest Hospital,45,83.33%,39,86.67%,7,15.56%,1,2.22%,0,0.00%,6.61,1.82,0.43,85.55,23.59,35.57,17.69,0.15
31-Dec-22,NWAS,Countess Of Chester,22,64.71%,22,100.00%,17,77.27%,12,54.55%,6,27.27%,29.75,24.85,17.98,300.83,96.12,226.13,35.25,1.35
31-Dec-22,WMAS,County Hospital (Stafford),30,93.75%,24,80.00%,9,30.00%,3,10.00%,2,6.67%,7.53,3.58,1.39,96.13,29.2,53.05,14.6,0.25
31-Dec-22,LAS,Croydon University (Mayday),69,89.61%,65,94.20%,42,60.87%,25,36.23%,20,28.99%,112.89,100.13,85.12,746.23,113,423.02,129.96,1.64
31-Dec-22,NWAS,Cumberland Infirmary,38,86.36%,33,86.84%,20,52.63%,6,15.79%,2,5.26%,13.61,7.47,1.86,113.68,36.16,64.48,22.9,0.36
31-Dec-22,SECAmb,Darent Valley Hospital,62,79.49%,49,79.03%,11,17.74%,0,0.00%,0,0.00%,9.14,2.9,0,57.75,22.95,41.42,23.72,0.15
31-Dec-22,NEAS,Darlington Memorial A&E,15,48.39%,14,93.33%,10,66.67%,10,66.67%,10,66.67%,32.41,31.92,31.92,342.03,144.54,318.85,36.13,2.16
31-Dec-22,SWAS,Derriford Hospital,61,100.00%,56,91.80%,53,86.89%,44,72.13%,39,63.93%,391.24,377.67,353.15,"1,893.70",399.19,912.22,405.84,6.41
31-Dec-22,YAS,Doncaster Royal Infirmary,61,85.92%,41,67.21%,36,59.02%,28,45.90%,22,36.07%,60.25,50.63,34.87,269.7,71.41,187.12,72.6,0.99
31-Dec-22,SWAS,Dorset County Hospital,51,100.00%,24,47.06%,14,27.45%,6,11.76%,2,3.92%,11.55,6.83,2.48,121.33,24.58,63.23,20.89,0.23
31-Dec-22,LAS,Ealing,43,87.76%,37,86.05%,25,58.14%,18,41.86%,10,23.26%,30.39,22.37,12.01,177.67,56.37,115.7,40.4,0.71
31-Dec-22,SECAmb,East Surrey Hospital,76,95.00%,69,90.79%,43,56.58%,17,22.37%,6,7.89%,35.3,21.3,7.08,126.43,42.69,82.95,54.07,0.46
31-Dec-22,SECAmb,Eastbourne Dgh,48,84.21%,31,64.58%,16,33.33%,1,2.08%,0,0.00%,9.23,3.46,0.38,82.6,25.08,44.88,20.06,0.19
31-Dec-22,SECAmb,Epsom Hospital,34,97.14%,27,79.41%,17,50.00%,6,17.65%,1,2.94%,10.96,5.66,1.19,94.4,33.63,64.63,19.05,0.32
31-Dec-22,NWAS,Fairfield General,34,66.67%,26,76.47%,20,58.82%,9,26.47%,4,11.76%,19.66,14.07,6.73,216.45,48.43,101.87,27.44,0.58
31-Dec-22,SCAS,Frimley Park Hospital,21,95.45%,19,90.48%,8,38.10%,1,4.76%,0,0.00%,5.5,2.22,0.35,81.2,30.55,49.77,10.69,0.26
31-Dec-22,SECAmb,Frimley Park Hospital,65,97.01%,56,86.15%,25,38.46%,2,3.08%,0,0.00%,16.05,5.57,0.46,82.63,29.37,48.35,31.82,0.25
31-Dec-22,NWAS,Furness General,18,66.67%,12,66.67%,7,38.89%,3,16.67%,2,11.11%,7.07,4.69,2.55,152.87,37.17,114.6,11.15,0.39
31-Dec-22,WMAS,George Elliot,35,92.11%,31,88.57%,11,31.43%,0,0.00%,0,0.00%,7.28,1.86,0,59.23,27.21,43.32,15.87,0.21
31-Dec-22,EMAS,Glenfield General Hospital,32,100.00%,13,40.63%,6,18.75%,3,9.38%,0,0.00%,8.19,4.41,1.59,69.45,18.74,43.15,10,0.26
31-Dec-22,SWAS,Gloucester Royal Hospital,76,100.00%,74,97.37%,63,82.89%,51,67.11%,48,63.16%,282.1,265.03,236.91,944.6,237.51,593.28,300.85,3.71
31-Dec-22,WMAS,Good Hope,66,97.06%,56,84.85%,34,51.52%,21,31.82%,14,21.21%,57.87,46.94,34.67,530,67.22,159.98,73.94,0.88
31-Dec-22,SWAS,Great Western Hospital,50,100.00%,40,80.00%,34,68.00%,25,50.00%,22,44.00%,225.37,216.38,201.06,"1,547.07",284.16,898.07,236.8,4.51
31-Dec-22,EMAS,Grimsby Diana Princess Of Wales,34,100.00%,19,55.88%,8,23.53%,3,8.82%,3,8.82%,13.67,6.55,2.69,135.05,28.96,57.2,16.41,0.4
31-Dec-22,YAS,Harrogate District Hospital,16,84.21%,12,75.00%,9,56.25%,5,31.25%,3,18.75%,10.57,8.07,4.47,201.68,52.31,109.73,13.95,0.66
31-Dec-22,WMAS,Heartlands,90,86.54%,74,82.22%,45,50.00%,29,32.22%,23,25.56%,88.98,74.69,56.52,356.87,73.72,223.78,110.58,0.99
31-Dec-22,WMAS,Hereford County,40,78.43%,27,67.50%,16,40.00%,8,20.00%,4,10.00%,15.73,10.75,5.02,150.17,37,88.97,24.67,0.39
31-Dec-22,LAS,Hillingdon,67,85.90%,56,83.58%,46,68.66%,30,44.78%,16,23.88%,67.66,55.2,35.91,384.7,74.43,181.75,83.12,1.01
31-Dec-22,EEAST,Hinchingbrooke Hospital,26,89.66%,26,100.00%,23,88.46%,20,76.92%,15,57.69%,49.3,43.15,32.73,279.53,128.77,245.75,55.8,1.9
31-Dec-22,LAS,Homerton,41,85.42%,15,36.59%,6,14.63%,0,0.00%,0,0.00%,2.75,0.51,0,37.47,15.94,33.88,10.89,0.07
31-Dec-22,SCAS,Horton General Hospital,23,85.19%,10,43.48%,4,17.39%,2,8.70%,0,0.00%,3.78,2.1,0.59,89.83,22.84,44.03,8.75,0.16
31-Dec-22,YAS,Huddersfield Royal Infirmary,45,88.24%,9,20.00%,2,4.44%,1,2.22%,0,0.00%,1.74,0.82,0,60.18,11.36,17.88,8.52,0.04
31-Dec-22,YAS,Hull Royal Infirmary,62,74.70%,54,87.10%,46,74.19%,36,58.06%,30,48.39%,114,101.37,81.74,491.28,124.12,315.97,128.26,1.84
31-Dec-22,EEAST,Ipswich Hospital,43,74.14%,37,86.05%,27,62.79%,14,32.56%,14,32.56%,65.16,56.93,47.19,412.38,105.32,288.52,75.48,1.52
31-Dec-22,NEAS,James Cook A&E,26,57.78%,26,100.00%,16,61.54%,2,7.69%,0,0.00%,9.64,8.47,1.96,79.83,37.24,67.02,16.14,0.37
31-Dec-22,EEAST,James Paget Hospital,32,74.42%,22,68.75%,16,50.00%,12,37.50%,10,31.25%,40.42,35.78,29.1,491.82,87.3,327.92,46.56,1.26
31-Dec-22,SCAS,John Radcliffe Hospital,62,56.88%,41,66.13%,8,12.90%,2,3.23%,1,1.61%,8.46,3.17,1.21,123.85,21.63,25.82,22.35,0.14
31-Dec-22,EMAS,Kettering General Hospital,84,100.00%,74,88.10%,50,59.52%,29,34.52%,15,17.86%,73.07,51.96,27.58,206.27,55.45,125.3,77.63,0.87
31-Dec-22,LAS,King Georges; Ilford,57,72.15%,56,98.25%,55,96.49%,45,78.95%,35,61.40%,169.72,155.73,129.92,872.85,193.59,457.6,183.91,2.98
31-Dec-22,LAS,Kings College,73,89.02%,55,75.34%,22,30.14%,9,12.33%,7,9.59%,27.11,18.26,11.48,214.47,36.23,74.75,44.08,0.37
31-Dec-22,EMAS,Kings Mill Hospital,91,100.00%,61,67.03%,5,5.49%,0,0.00%,0,0.00%,21.44,1.6,0,47.63,18.95,27.13,28.74,0.24
31-Dec-22,LAS,Kingston,55,85.94%,42,76.36%,18,32.73%,9,16.36%,7,12.73%,49.71,41.52,35.77,571.77,67.98,175,62.32,0.9
31-Dec-22,YAS,Leeds General Infirmary,71,98.61%,5,7.04%,1,1.41%,1,1.41%,0,0.00%,1.22,0.87,0.37,82.4,8.38,13.37,9.91,0.02
31-Dec-22,EMAS,Leicester Royal Infirmary,118,100.00%,109,92.37%,90,76.27%,67,56.78%,48,40.68%,215.87,187.32,142.62,546.52,111.37,266.13,219.04,1.83
31-Dec-22,NWAS,Leighton,26,46.43%,22,84.62%,9,34.62%,0,0.00%,0,0.00%,5.18,1.47,0,48.13,26.66,44.07,11.55,0.2
31-Dec-22,LAS,Lewisham,41,77.36%,34,82.93%,22,53.66%,14,34.15%,11,26.83%,48.62,41.28,32.38,349.48,84.97,251.68,58.06,1.19
31-Dec-22,EMAS,Lincoln County Hospital,58,100.00%,53,91.38%,23,39.66%,5,8.62%,3,5.17%,37.02,17.23,7.11,157,35.58,55.78,34.39,0.64
31-Dec-22,EEAST,Lister Hospital,18,46.15%,18,100.00%,16,88.89%,14,77.78%,10,55.56%,49.95,45.5,38.16,611.12,181.51,488.58,54.45,2.78
31-Dec-22,EEAST,Luton And Dunstable Hospital,51,73.91%,42,82.35%,26,50.98%,18,35.29%,11,21.57%,34.08,26.09,15.83,221.72,54.36,125.68,46.21,0.67
31-Dec-22,NWAS,Macclesfield General,19,65.52%,17,89.47%,12,63.16%,5,26.32%,2,10.53%,9.7,6.21,2.26,131.03,45.48,100.37,14.4,0.51
31-Dec-22,SECAmb,Maidstone Hospital,50,94.34%,29,58.00%,3,6.00%,0,0.00%,0,0.00%,2.96,0.22,0,41.42,17.38,28.95,14.48,0.06
31-Dec-22,NWAS,Manchester Royal Infirmary,51,73.91%,45,88.24%,20,39.22%,12,23.53%,8,15.69%,23.8,16.21,9.23,154.55,42.52,106.63,36.14,0.47
31-Dec-22,SECAmb,Medway Maritime Hospital,111,95.69%,69,62.16%,18,16.22%,6,5.41%,1,0.90%,16.85,7.29,1.52,105.55,22.27,46.67,41.19,0.15
31-Dec-22,SCAS,Milton Keynes General Hospital,58,79.45%,46,79.31%,26,44.83%,6,10.34%,0,0.00%,17.3,8.43,1.04,76.02,32.19,52.97,31.12,0.3
31-Dec-22,SWAS,Musgrove Park Hospital,81,100.00%,62,76.54%,48,59.26%,35,43.21%,31,38.27%,96.83,83.55,63.5,463.87,85.49,191.68,115.42,1.2
31-Dec-22,WMAS,New Cross,125,96.90%,89,71.20%,51,40.80%,23,18.40%,19,15.20%,76.68,59.61,43.31,715,50.86,128.15,105.96,0.61
31-Dec-22,WMAS,New Queen Elizabeth Hosp,86,90.53%,76,88.37%,32,37.21%,16,18.60%,12,13.95%,75.47,62.49,51.6,532,67.42,192.77,96.64,0.88
31-Dec-22,LAS,Newham,36,60.00%,33,91.67%,25,69.44%,13,36.11%,9,25.00%,30.33,23.16,14.33,256.55,65.08,144.17,39.05,0.84
31-Dec-22,EEAST,Norfolk & Norwich University Hospital,49,56.32%,46,93.88%,43,87.76%,37,75.51%,28,57.14%,120.51,109.46,89.62,558.37,162.15,361.83,132.42,2.46
31-Dec-22,SWAS,North Devon District Hospital,42,100.00%,35,83.33%,26,61.90%,21,50.00%,13,30.95%,47.22,39.59,28.01,246.62,81.67,209.97,57.17,1.12
31-Dec-22,SCAS,North Hants Hospital,49,92.45%,26,53.06%,8,16.33%,2,4.08%,0,0.00%,6.92,3,0.24,68.42,21.72,42.27,17.74,0.14
31-Dec-22,NWAS,North Manchester General,37,69.81%,26,70.27%,20,54.05%,13,35.14%,12,32.43%,28.45,22.91,15.23,191.73,60.17,152.57,37.1,0.77
31-Dec-22,LAS,North Middlesex,62,76.54%,58,93.55%,53,85.48%,32,51.61%,16,25.81%,77.14,63,42.64,448.45,89.05,180.1,92.02,1.24
31-Dec-22,NEAS,North Tees Hospital A&E,22,45.83%,19,86.36%,11,50.00%,4,18.18%,2,9.09%,9.52,8.79,5.4,130.68,40.48,80.73,14.84,0.43
31-Dec-22,EMAS,Northampton General Hospital,72,100.00%,64,88.89%,47,65.28%,40,55.56%,38,52.78%,137.07,119.52,94.61,447,117.6,289.92,141.12,1.9
31-Dec-22,YAS,Northern General Hospital,105,93.75%,70,66.67%,45,42.86%,25,23.81%,16,15.24%,51.53,37.06,20.04,212.18,42.38,113.17,74.17,0.49
31-Dec-22,LAS,Northwick Park,101,85.59%,72,71.29%,53,52.48%,32,31.68%,23,22.77%,85.96,70.92,49.9,350.93,64.55,197.48,108.65,0.85
31-Dec-22,EMAS,Nottingham City Hospital Campus,10,100.00%,10,100.00%,6,60.00%,4,40.00%,3,30.00%,9.36,6.12,3.55,116.32,58.54,116.2,9.76,0.94
31-Dec-22,NEAS,Nsec A&E,54,69.23%,43,79.63%,22,40.74%,15,27.78%,6,11.11%,22.53,21.05,18.38,138.62,39.27,98.92,35.34,0.42
31-Dec-22,EEAST,Peterborough City Hospital,30,78.95%,28,93.33%,24,80.00%,12,40.00%,10,33.33%,41.71,35.02,26.47,490.4,98.36,211.45,49.18,1.39
31-Dec-22,EMAS,Peterborough City Hospital,13,100.00%,13,100.00%,8,61.54%,6,46.15%,6,46.15%,26.76,22.11,18.56,676.67,124.1,279.18,26.89,2.06
31-Dec-22,YAS,Pinderfields General Hospital,86,93.48%,30,34.88%,9,10.47%,0,0.00%,0,0.00%,5.31,1.02,0,46.6,14.01,30.45,20.09,0.06
31-Dec-22,SWAS,Poole Hospital,60,100.00%,53,88.33%,44,73.33%,29,48.33%,24,40.00%,152.8,140.49,123.76,731.03,167.27,593.32,167.27,2.55
31-Dec-22,EEAST,Princess Alexandra Hospital,17,65.38%,14,82.35%,9,52.94%,3,17.65%,2,11.76%,10.02,7.34,4.7,229.7,49.69,169.4,14.08,0.59
31-Dec-22,WMAS,Princess Royal,27,61.36%,25,92.59%,24,88.89%,17,62.96%,16,59.26%,56.81,50.7,41.41,359.95,140.98,284.07,63.44,2.1
31-Dec-22,SECAmb,Princess Royal Hospital,20,86.96%,17,85.00%,8,40.00%,0,0.00%,0,0.00%,4.11,0.82,0,41.35,26.62,38.67,8.87,0.21
31-Dec-22,LAS,Princess Royal; Farnborough,50,71.43%,47,94.00%,33,66.00%,27,54.00%,18,36.00%,103.47,93.4,79.42,822.68,138.79,309.52,115.65,2.07
31-Dec-22,SCAS,Queen Alexandra Hospital,88,80.73%,77,87.50%,69,78.41%,63,71.59%,51,57.95%,198.57,180.35,147.98,477.83,149.51,300.97,219.28,2.26
31-Dec-22,NEAS,Queen Elizabeth Emrg Hub,24,68.57%,18,75.00%,15,62.50%,12,50.00%,12,50.00%,33.93,33.68,32.31,297.33,98.44,232.83,39.38,1.41
31-Dec-22,EEAST,Queen Elizabeth Hospital,28,65.12%,26,92.86%,23,82.14%,20,71.43%,20,71.43%,91.74,85.71,75.44,642.8,210.52,554.52,98.24,3.28
31-Dec-22,LAS,Queen Elizabeth Ii; Woolwich,64,69.57%,37,57.81%,23,35.94%,20,31.25%,17,26.56%,120.13,112.93,102.67,"1,119.43",124.84,422.65,133.17,1.88
31-Dec-22,SECAmb,Queen Elizabeth Queen Mother Hospital,69,98.57%,57,82.61%,14,20.29%,0,0.00%,0,0.00%,10.31,1.24,0,43.68,23.42,34.57,26.93,0.15
31-Dec-22,EMAS,Queens Medical Centre Campus Hospital,131,100.00%,112,85.50%,81,61.83%,67,51.15%,53,40.46%,201.05,169.46,130.95,350,98.65,264,215.4,1.53
31-Dec-22,LAS,Queens; Romford - A&E,63,60.58%,62,98.41%,56,88.89%,41,65.08%,34,53.97%,214.28,199.55,175.29,"1,232.20",218.83,636.23,229.78,3.4
31-Dec-22,YAS,Rotherham District General Hos,43,87.76%,34,79.07%,27,62.79%,20,46.51%,17,39.53%,59.72,52.13,40.93,336.1,96.64,221.75,69.26,1.39
31-Dec-22,NWAS,Royal Albert Edward Infirmary,33,57.89%,29,87.88%,22,66.67%,16,48.48%,10,30.30%,31.6,25.15,15.75,233.35,71.94,150.85,39.57,0.96
31-Dec-22,SCAS,Royal Berkshire Hospital,100,83.33%,76,76.00%,34,34.00%,20,20.00%,14,14.00%,51.16,38,25.39,219.47,44.8,95.52,74.67,0.51
31-Dec-22,NWAS,Royal Blackburn,65,67.01%,56,86.15%,24,36.92%,7,10.77%,3,4.62%,19.09,9.52,2.9,123.53,32.39,65.03,35.09,0.29
31-Dec-22,NWAS,Royal Bolton,45,72.58%,37,82.22%,33,73.33%,26,57.78%,23,51.11%,72.28,63.71,48.53,329.92,110.67,250.13,83,1.61
31-Dec-22,SWAS,Royal Bournemouth Hospital,63,100.00%,57,90.48%,53,84.13%,36,57.14%,33,52.38%,128.13,114.36,92.15,416.33,136.53,328.12,143.35,2.03
31-Dec-22,EMAS,Royal Derby Hospital,92,100.00%,83,90.22%,56,60.87%,39,42.39%,35,38.04%,121.18,98.39,71.37,306.92,83.24,205.35,127.64,1.32
31-Dec-22,SWAS,Royal Devon And Exeter Wonford,95,100.00%,80,84.21%,61,64.21%,30,31.58%,14,14.74%,73.21,55.44,31.86,251.88,60.49,170.63,95.78,0.77
31-Dec-22,LAS,Royal Free,49,89.09%,42,85.71%,22,44.90%,5,10.20%,4,8.16%,17.69,10.19,4.32,142.07,35.56,58.55,29.04,0.36
31-Dec-22,SCAS,Royal Hampshire County Hospital,46,97.87%,8,17.39%,1,2.17%,0,0.00%,0,0.00%,1.04,0.35,0,51.2,12.78,17.35,9.8,0.02
31-Dec-22,NWAS,Royal Lancaster Infirmary,40,93.02%,25,62.50%,9,22.50%,6,15.00%,3,7.50%,11.16,6.96,3.32,122.83,30.33,75.13,20.22,0.28
31-Dec-22,NWAS,Royal Liverpool University,26,56.52%,25,96.15%,19,73.08%,13,50.00%,8,30.77%,26.75,20.99,12.76,244.27,76.44,174.3,33.12,1.03
31-Dec-22,LAS,Royal London (Whitechapel),42,63.64%,31,73.81%,18,42.86%,6,14.29%,1,2.38%,13.21,7.24,2.24,107.32,32.27,70.13,22.59,0.31
31-Dec-22,NWAS,Royal Oldham,31,57.41%,26,83.87%,12,38.71%,5,16.13%,3,9.68%,11.45,6.56,3.11,119.05,36.81,85.72,19.02,0.37
31-Dec-22,NWAS,Royal Preston,66,83.54%,59,89.39%,28,42.42%,12,18.18%,2,3.03%,23.28,13.04,3.69,108.62,35.78,72,39.35,0.35
31-Dec-22,WMAS,Royal Shrewsbury,30,60.00%,28,93.33%,26,86.67%,21,70.00%,18,60.00%,139.28,132.32,120.53,"1,094.00",292.55,624,146.28,4.64
31-Dec-22,WMAS,Royal Stoke Univ Hosp,100,75.76%,85,85.00%,65,65.00%,50,50.00%,43,43.00%,190.7,171.78,143.74,515,128.63,386.5,214.39,1.91
31-Dec-22,SECAmb,Royal Surrey County Hospital,35,100.00%,22,62.86%,5,14.29%,0,0.00%,0,0.00%,2.61,0.41,0,39.4,18.28,31.63,10.66,0.07
31-Dec-22,SECAmb,Royal Sussex County Hospital,59,88.06%,48,81.36%,27,45.76%,6,10.17%,1,1.69%,17.97,9.03,1.2,94.38,32.75,58.68,32.21,0.3
31-Dec-22,SWAS,Royal United Hospital - Bath,52,100.00%,45,86.54%,39,75.00%,32,61.54%,25,48.08%,89.83,79.16,61.47,379.15,117.75,284.17,102.05,1.73
31-Dec-22,WMAS,Russells Hall,100,92.59%,92,92.00%,68,68.00%,50,50.00%,38,38.00%,139.09,118.59,90.67,348.12,98.1,256.85,163.5,1.39
31-Dec-22,NEAS,Rvi A&E,42,54.55%,26,61.90%,7,16.67%,0,0.00%,0,0.00%,4.16,2.4,0,45.75,19.54,60.67,13.68,0.1
31-Dec-22,NWAS,Salford Royal,58,81.69%,20,34.48%,5,8.62%,0,0.00%,0,0.00%,3.28,0.48,0,42.32,14.85,28.93,14.36,0.06
31-Dec-22,SWAS,Salisbury District Hospital,30,100.00%,15,50.00%,5,16.67%,1,3.33%,1,3.33%,4.29,1.77,0.92,115.12,21.08,35,10.54,0.14
31-Dec-22,WMAS,Sandwell,77,89.53%,69,89.61%,45,58.44%,17,22.08%,8,10.39%,50.45,36.31,21.81,405,53.98,92.4,69.27,0.66
31-Dec-22,YAS,Scarborough District General Hospital,35,77.78%,32,91.43%,26,74.29%,21,60.00%,18,51.43%,62,54.75,43.52,396,120.53,240.32,70.31,1.77
31-Dec-22,EMAS,Scunthorpe General Hospital,33,100.00%,31,93.94%,27,81.82%,18,54.55%,9,27.27%,48.43,38.75,26.24,275.53,88.6,219.47,48.73,1.47
31-Dec-22,NEAS,South Tyneside Hosp A&E,17,60.71%,16,94.12%,10,58.82%,8,47.06%,6,35.29%,18.09,17.61,17.01,226.25,78.44,190.52,22.22,1.06
31-Dec-22,SCAS,Southampton General Hospital,127,84.11%,60,47.24%,6,4.72%,0,0.00%,0,0.00%,7.39,0.52,0,42.58,16.74,25.05,35.43,0.06
31-Dec-22,EEAST,Southend University Hospital,35,54.69%,34,97.14%,31,88.57%,23,65.71%,19,54.29%,78.39,70.35,56.85,574.93,149.27,280.9,87.08,2.24
31-Dec-22,SWAS,Southmead Hospital,90,100.00%,81,90.00%,62,68.89%,39,43.33%,27,30.00%,111.42,93.74,69.25,851.97,88.6,189.15,132.9,1.24
31-Dec-22,NWAS,Southport District General,32,94.12%,30,93.75%,17,53.13%,9,28.13%,3,9.38%,18.62,12.88,6.26,208.48,49.89,83.38,26.61,0.58
31-Dec-22,LAS,St Georges; Tooting,58,84.06%,48,82.76%,28,48.28%,15,25.86%,8,13.79%,40.4,30.86,21.19,425.92,55.72,103.72,53.86,0.7
31-Dec-22,LAS,St Helier,48,85.71%,44,91.67%,33,68.75%,20,41.67%,18,37.50%,113.73,103.88,91.72,992.62,156.48,520.03,125.18,2.37
31-Dec-22,YAS,St James University Hospital,98,98.00%,43,43.88%,16,16.33%,3,3.06%,3,3.06%,13.67,6.69,2.78,122.9,19.46,38.78,31.79,0.14
31-Dec-22,IOW,St Mary'S Hospital,55,100.00%,19,34.55%,2,3.64%,0,0.00%,0,0.00%,2.37,0.53,0,56.15,15.07,21.82,13.81,0.04
31-Dec-22,LAS,St Marys; W2,67,97.10%,34,50.75%,5,7.46%,0,0.00%,0,0.00%,4.41,0.71,0,48.47,16.76,27.13,18.71,0.07
31-Dec-22,SECAmb,St Peters Hospital,73,100.00%,63,86.30%,15,20.55%,0,0.00%,0,0.00%,11.3,2.02,0,53.45,23.98,35.55,29.17,0.15
31-Dec-22,SECAmb,St Richards Hospital,60,98.36%,30,50.00%,4,6.67%,1,1.67%,0,0.00%,4.68,1.11,0.23,73.92,17.79,28.2,17.79,0.08
