Date,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Coun to fHandovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h),,,,,
01-May-20,SWAS,Derriford Hospital,104,100.00%,19,18.27%,3,2.88%,0,0.00%,0,0.00%,2.47,0.33,0,43.5,10.35,19.33,17.94,0.02,,,,,
02-May-20,SWAS,Derriford Hospital,110,100.00%,26,23.64%,4,3.64%,0,0.00%,0,0.00%,3.3,0.31,0,38.82,10.74,21.53,19.69,0.03,,,,,
03-May-20,SWAS,Derriford Hospital,96,100.00%,22,22.92%,3,3.13%,0,0.00%,0,0.00%,2.44,0.26,0,38.5,11.05,20.23,17.69,0.03,,,,,
04-May-20,SWAS,Derriford Hospital,102,100.00%,30,29.41%,2,1.96%,0,0.00%,0,0.00%,4.45,0.73,0,59.47,12.22,24.37,20.77,0.04,,,,,
05-May-20,SWAS,Derriford Hospital,101,100.00%,30,29.70%,8,7.92%,0,0.00%,0,0.00%,5.67,1.23,0,48.95,13.22,28.25,22.26,0.06,,,,,
06-May-20,SWAS,Derriford Hospital,108,100.00%,18,16.67%,0,0.00%,0,0.00%,0,0.00%,1.62,0,0,28.05,8.94,19.42,16.09,0.02,,,,,
07-May-20,SWAS,Derriford Hospital,111,100.00%,36,32.43%,8,7.21%,0,0.00%,0,0.00%,5.87,1.45,0,55,12.52,24.98,23.17,0.05,,,,,
08-May-20,SWAS,Derriford Hospital,110,100.00%,20,18.18%,5,4.55%,0,0.00%,0,0.00%,3.36,1.19,0,50.5,10.25,19.12,18.8,0.03,,,,,
09-May-20,SWAS,Derriford Hospital,98,100.00%,17,17.35%,2,2.04%,0,0.00%,0,0.00%,2.02,0.13,0,36.57,10.36,19.75,16.92,0.02,,,,,
10-May-20,SWAS,Derriford Hospital,102,100.00%,24,23.53%,4,3.92%,0,0.00%,0,0.00%,3.39,0.53,0,42.17,10.86,21.1,18.46,0.03,,,,,
11-May-20,SWAS,Derriford Hospital,112,100.00%,21,18.75%,6,5.36%,1,0.89%,0,0.00%,4.16,1.11,0.21,72.57,9.38,21.27,17.51,0.04,,,,,
12-May-20,SWAS,Derriford Hospital,106,100.00%,15,14.15%,2,1.89%,0,0.00%,0,0.00%,1.97,0.03,0,31.37,9.1,20.05,16.08,0.02,,,,,
13-May-20,SWAS,Derriford Hospital,109,100.00%,24,22.02%,4,3.67%,0,0.00%,0,0.00%,3.28,0.44,0,45.08,10.03,23.17,18.22,0.03,,,,,
14-May-20,SWAS,Derriford Hospital,109,100.00%,18,16.51%,6,5.50%,0,0.00%,0,0.00%,3.56,1.09,0,58.02,10.37,19.45,18.84,0.03,,,,,
15-May-20,SWAS,Derriford Hospital,133,100.00%,77,57.89%,33,24.81%,6,4.51%,1,0.75%,23.35,10.34,2.15,92.92,22.41,48.05,49.67,0.18,,,,,
16-May-20,SWAS,Derriford Hospital,93,100.00%,20,21.51%,2,2.15%,0,0.00%,0,0.00%,2.72,0.73,0,53.03,10.96,20.07,16.98,0.03,,,,,
17-May-20,SWAS,Derriford Hospital,122,100.00%,30,24.59%,11,9.02%,0,0.00%,0,0.00%,6.12,2.08,0,56.72,12.19,24.08,24.8,0.05,,,,,
18-May-20,SWAS,Derriford Hospital,129,100.00%,29,22.48%,7,5.43%,1,0.78%,0,0.00%,5.27,1.63,0.06,63.87,10.87,23.98,23.38,0.04,,,,,
19-May-20,SWAS,Derriford Hospital,111,100.00%,27,24.32%,2,1.80%,0,0.00%,0,0.00%,3.01,0.07,0,33.3,9.86,20.82,18.24,0.03,,,,,
20-May-20,SWAS,Derriford Hospital,107,100.00%,21,19.63%,2,1.87%,0,0.00%,0,0.00%,2,0.21,0,39.68,9.55,20,17.03,0.02,,,,,
21-May-20,SWAS,Derriford Hospital,102,100.00%,22,21.57%,6,5.88%,0,0.00%,0,0.00%,3.04,0.53,0,41.52,10.92,20,18.56,0.03,,,,,
22-May-20,SWAS,Derriford Hospital,100,100.00%,34,34.00%,8,8.00%,0,0.00%,0,0.00%,5.56,1.03,0,46.65,13.85,28.25,23.09,0.06,,,,,
23-May-20,SWAS,Derriford Hospital,97,100.00%,16,16.49%,1,1.03%,1,1.03%,1,1.03%,2.78,1.25,0.75,105,9.75,17.47,15.76,0.03,,,,,
24-May-20,SWAS,Derriford Hospital,106,100.00%,19,17.92%,3,2.83%,0,0.00%,0,0.00%,3.29,0.5,0,51.28,9.41,24.55,16.63,0.03,,,,,
25-May-20,SWAS,Derriford Hospital,124,100.00%,31,25.00%,6,4.84%,1,0.81%,0,0.00%,4.22,1.07,0.06,63.83,10.8,20,22.31,0.03,,,,,
26-May-20,SWAS,Derriford Hospital,104,100.00%,18,17.31%,6,5.77%,0,0.00%,0,0.00%,3.39,0.6,0,46.98,9.33,22.9,16.17,0.03,,,,,
27-May-20,SWAS,Derriford Hospital,114,100.00%,24,21.05%,2,1.75%,0,0.00%,0,0.00%,2.98,0.17,0,38.32,10.68,21,20.3,0.03,,,,,
28-May-20,SWAS,Derriford Hospital,107,100.00%,16,14.95%,4,3.74%,0,0.00%,0,0.00%,2.62,0.57,0,50.85,10.27,18.23,18.31,0.02,,,,,
29-May-20,SWAS,Derriford Hospital,113,100.00%,31,27.43%,9,7.96%,0,0.00%,0,0.00%,5.99,1.56,0,57.83,12.57,27.48,23.68,0.05,,,,,
30-May-20,SWAS,Derriford Hospital,88,100.00%,29,32.95%,9,10.23%,1,1.14%,0,0.00%,6.87,2.42,0.33,80,14.92,30.5,21.88,0.08,,,,,
31-May-20,SWAS,Derriford Hospital,99,100.00%,30,30.30%,1,1.01%,0,0.00%,0,0.00%,2.77,0.1,0,36.08,11.51,21.65,18.99,0.03,,,,,
01-Jun-20,SWAS,Derriford Hospital,99,100.00%,21,21.21%,5,5.05%,0,0.00%,0,0.00%,3.07,0.39,0,44.67,10.11,23.37,16.68,0.03,,,,,
02-Jun-20,SWAS,Derriford Hospital,124,100.00%,35,28.23%,8,6.45%,2,1.61%,0,0.00%,6.74,2.97,0.34,72.28,12.47,21.68,25.78,0.05,,,,,
03-Jun-20,SWAS,Derriford Hospital,110,100.00%,19,17.27%,2,1.82%,0,0.00%,0,0.00%,2.57,0.01,0,30.35,7.75,21.08,14.2,0.02,,,,,
04-Jun-20,SWAS,Derriford Hospital,103,100.00%,14,13.59%,3,2.91%,0,0.00%,0,0.00%,2.07,0.57,0,57.82,7.61,17.28,13.06,0.02,,,,,
05-Jun-20,SWAS,Derriford Hospital,107,100.00%,17,15.89%,2,1.87%,0,0.00%,0,0.00%,1.9,0.33,0,45.98,7.82,18.87,13.94,0.02,,,,,
06-Jun-20,SWAS,Derriford Hospital,105,100.00%,22,20.95%,1,0.95%,0,0.00%,0,0.00%,2.09,0.32,0,49.37,8.27,17.4,14.48,0.02,,,,,
07-Jun-20,SWAS,Derriford Hospital,106,100.00%,10,9.43%,2,1.89%,0,0.00%,0,0.00%,1.39,0.49,0,53.95,7.48,15,13.22,0.01,,,,,
08-Jun-20,SWAS,Derriford Hospital,123,100.00%,32,26.02%,5,4.07%,0,0.00%,0,0.00%,4.26,0.46,0,40,10.8,24.1,22.15,0.03,,,,,
09-Jun-20,SWAS,Derriford Hospital,90,100.00%,6,6.67%,0,0.00%,0,0.00%,0,0.00%,0.36,0,0,25.63,6.44,12.7,9.66,0,,,,,
10-Jun-20,SWAS,Derriford Hospital,105,100.00%,7,6.67%,2,1.90%,0,0.00%,0,0.00%,1.52,0.75,0,55.35,6.14,11.9,10.74,0.01,,,,,
11-Jun-20,SWAS,Derriford Hospital,112,100.00%,16,14.29%,3,2.68%,1,0.89%,0,0.00%,2.67,1.01,0.4,83.85,9.24,17.4,17.25,0.02,,,,,
12-Jun-20,SWAS,Derriford Hospital,123,100.00%,12,9.76%,1,0.81%,0,0.00%,0,0.00%,1.06,0.2,0,41.73,7.6,15,15.57,0.01,,,,,
13-Jun-20,SWAS,Derriford Hospital,111,100.00%,11,9.91%,0,0.00%,0,0.00%,0,0.00%,0.76,0,0,25.1,6.87,14.85,12.71,0.01,,,,,
14-Jun-20,SWAS,Derriford Hospital,99,100.00%,6,6.06%,0,0.00%,0,0.00%,0,0.00%,0.75,0,0,26.05,6.32,11.6,10.42,0.01,,,,,
15-Jun-20,SWAS,Derriford Hospital,119,100.00%,38,31.93%,27,22.69%,21,17.65%,10,8.40%,31.51,23.91,11.84,138,24.25,89.43,48.1,0.26,,,,,
16-Jun-20,SWAS,Derriford Hospital,103,100.00%,34,33.01%,22,21.36%,12,11.65%,4,3.88%,19.86,13.46,4.85,107.08,21.33,63.72,36.62,0.19,,,,,
17-Jun-20,SWAS,Derriford Hospital,119,100.00%,27,22.69%,9,7.56%,1,0.84%,0,0.00%,6.42,2.57,0.23,73.78,11.04,23.98,21.9,0.05,,,,,
18-Jun-20,SWAS,Derriford Hospital,106,100.00%,34,32.08%,7,6.60%,0,0.00%,0,0.00%,4.89,0.79,0,47.32,11.59,25.73,20.47,0.05,,,,,
19-Jun-20,SWAS,Derriford Hospital,113,100.00%,12,10.62%,1,0.88%,0,0.00%,0,0.00%,1.11,0.01,0,30.48,7.17,16.62,13.5,0.01,,,,,
20-Jun-20,SWAS,Derriford Hospital,123,100.00%,23,18.70%,1,0.81%,0,0.00%,0,0.00%,2.26,0.07,0,34.15,9.53,19.53,19.55,0.02,,,,,
21-Jun-20,SWAS,Derriford Hospital,111,100.00%,7,6.31%,2,1.80%,0,0.00%,0,0.00%,1.72,0.57,0,53.88,6,12.8,11.1,0.02,,,,,
22-Jun-20,SWAS,Derriford Hospital,118,100.00%,36,30.51%,7,5.93%,0,0.00%,0,0.00%,6.16,0.94,0,42.32,12.32,27.08,24.23,0.05,,,,,
23-Jun-20,SWAS,Derriford Hospital,116,100.00%,21,18.10%,9,7.76%,0,0.00%,0,0.00%,4.45,1.01,0,49.43,10.08,24.43,19.49,0.04,,,,,
24-Jun-20,SWAS,Derriford Hospital,128,100.00%,38,29.69%,18,14.06%,7,5.47%,0,0.00%,12.64,6.06,1.01,82.55,15.27,36.67,32.58,0.1,,,,,
25-Jun-20,SWAS,Derriford Hospital,132,100.00%,50,37.88%,19,14.39%,4,3.03%,2,1.52%,14.96,6.36,1.41,104.47,16.63,36.93,36.59,0.11,,,,,
26-Jun-20,SWAS,Derriford Hospital,130,100.00%,64,49.23%,22,16.92%,1,0.77%,0,0.00%,13.88,5.07,0.23,73.62,17.46,38.07,37.84,0.11,,,,,
27-Jun-20,SWAS,Derriford Hospital,124,100.00%,13,10.48%,3,2.42%,0,0.00%,0,0.00%,2.17,0.4,0,43.4,8.13,15.68,16.8,0.02,,,,,
28-Jun-20,SWAS,Derriford Hospital,106,100.00%,15,14.15%,1,0.94%,0,0.00%,0,0.00%,2.47,0.17,0,40,8.87,22.25,15.67,0.02,,,,,
29-Jun-20,SWAS,Derriford Hospital,108,100.00%,13,12.04%,2,1.85%,0,0.00%,0,0.00%,1.31,0.14,0,35,8.98,16.4,16.16,0.01,,,,,
30-Jun-20,SWAS,Derriford Hospital,117,100.00%,37,31.62%,7,5.98%,0,0.00%,0,0.00%,6.44,1.06,0,59.37,12.95,28.07,25.24,0.06,,,,,
01-Jul-20,SWAS,Derriford Hospital,108,100.00%,14,12.96%,2,1.85%,0,0.00%,0,0.00%,2.07,0.36,0,46.15,8.49,17.77,15.29,0.02,,,,,
02-Jul-20,SWAS,Derriford Hospital,119,100.00%,31,26.05%,18,15.13%,0,0.00%,0,0.00%,9.91,4.12,0,59.5,14.09,39.9,27.94,0.08,,,,,
03-Jul-20,SWAS,Derriford Hospital,127,100.00%,40,31.50%,23,18.11%,16,12.60%,5,3.94%,22.72,15.18,6.41,125.5,19.34,67,40.95,0.18,,,,,
04-Jul-20,SWAS,Derriford Hospital,112,100.00%,16,14.29%,1,0.89%,0,0.00%,0,0.00%,1.46,0.04,0,32.48,7.53,18.03,14.06,0.01,,,,,
05-Jul-20,SWAS,Derriford Hospital,115,100.00%,12,10.43%,2,1.74%,0,0.00%,0,0.00%,2.06,0.51,0,50.67,7.58,15.77,14.54,0.02,,,,,
06-Jul-20,SWAS,Derriford Hospital,115,100.00%,15,13.04%,0,0.00%,0,0.00%,0,0.00%,1.6,0,0,29.12,7.84,16.8,15.02,0.01,,,,,
07-Jul-20,SWAS,Derriford Hospital,118,100.00%,41,34.75%,13,11.02%,4,3.39%,0,0.00%,11.1,4.94,0.41,74.3,14.77,34.47,29.05,0.09,,,,,
08-Jul-20,SWAS,Derriford Hospital,111,100.00%,13,11.71%,2,1.80%,1,0.90%,0,0.00%,2.85,1.03,0.44,86.62,8.11,17.02,15.01,0.03,,,,,
09-Jul-20,SWAS,Derriford Hospital,143,100.00%,50,34.97%,29,20.28%,7,4.90%,1,0.70%,20.5,10.76,1.49,106.87,17.67,50.87,42.11,0.14,,,,,
10-Jul-20,SWAS,Derriford Hospital,133,100.00%,44,33.08%,30,22.56%,13,9.77%,4,3.01%,26.39,18,7.36,133.42,20.98,59.28,46.5,0.2,,,,,
11-Jul-20,SWAS,Derriford Hospital,128,100.00%,24,18.75%,6,4.69%,0,0.00%,0,0.00%,3.87,0.49,0,42.18,10.28,21.75,21.92,0.03,,,,,
12-Jul-20,SWAS,Derriford Hospital,107,100.00%,6,5.61%,3,2.80%,0,0.00%,0,0.00%,1.7,0.55,0,53.97,7.42,13.33,13.24,0.02,,,,,
13-Jul-20,SWAS,Derriford Hospital,122,100.00%,47,38.52%,30,24.59%,5,4.10%,0,0.00%,18.74,8.95,0.57,82.62,19.1,48.8,38.84,0.15,,,,,
14-Jul-20,SWAS,Derriford Hospital,124,100.00%,42,33.87%,19,15.32%,5,4.03%,1,0.81%,13.79,6.51,0.89,95,16.2,40.9,33.49,0.11,,,,,
15-Jul-20,SWAS,Derriford Hospital,102,100.00%,14,13.73%,2,1.96%,0,0.00%,0,0.00%,1.89,0.34,0,42.33,7.93,17.8,13.49,0.02,,,,,
16-Jul-20,SWAS,Derriford Hospital,116,100.00%,12,10.34%,4,3.45%,1,0.86%,0,0.00%,2.29,0.83,0.1,66.13,8.73,15.08,16.89,0.02,,,,,
17-Jul-20,SWAS,Derriford Hospital,120,100.00%,32,26.67%,14,11.67%,5,4.17%,0,0.00%,9.85,5.06,0.33,66.28,12.97,33.73,25.93,0.08,,,,,
18-Jul-20,SWAS,Derriford Hospital,101,100.00%,22,21.78%,8,7.92%,1,0.99%,0,0.00%,4.54,1.55,0.12,67.37,10.05,23.08,16.92,0.04,,,,,
19-Jul-20,SWAS,Derriford Hospital,122,100.00%,18,14.75%,2,1.64%,0,0.00%,0,0.00%,2.02,0.29,0,40.45,8.19,16.85,16.65,0.02,,,,,
20-Jul-20,SWAS,Derriford Hospital,139,100.00%,39,28.06%,17,12.23%,4,2.88%,0,0.00%,11.64,4.92,1.09,86.18,13.87,32.33,32.14,0.08,,,,,
21-Jul-20,SWAS,Derriford Hospital,117,100.00%,42,35.90%,12,10.26%,2,1.71%,0,0.00%,8.93,3.6,0.22,72.33,14.08,33.23,27.45,0.08,,,,,
22-Jul-20,SWAS,Derriford Hospital,124,100.00%,42,33.87%,20,16.13%,5,4.03%,0,0.00%,12.86,5.63,0.75,82.18,15.6,35.25,32.24,0.1,,,,,
23-Jul-20,SWAS,Derriford Hospital,125,100.00%,26,20.80%,14,11.20%,3,2.40%,0,0.00%,9.46,4.79,0.8,87.1,12.85,33.92,26.76,0.08,,,,,
24-Jul-20,SWAS,Derriford Hospital,120,100.00%,57,47.50%,39,32.50%,12,10.00%,1,0.83%,27.47,15.32,2.9,95.92,23.87,59.97,47.74,0.23,,,,,
25-Jul-20,SWAS,Derriford Hospital,123,100.00%,28,22.76%,11,8.94%,2,1.63%,0,0.00%,8.01,3.32,0.18,66.27,11.67,28.5,23.93,0.07,,,,,
26-Jul-20,SWAS,Derriford Hospital,123,100.00%,24,19.51%,12,9.76%,0,0.00%,0,0.00%,5.67,1.54,0,53.32,10.72,26.93,21.98,0.05,,,,,
27-Jul-20,SWAS,Derriford Hospital,118,100.00%,38,32.20%,24,20.34%,9,7.63%,6,5.08%,19.02,11.78,4.89,107.92,18.27,46,35.94,0.16,,,,,
28-Jul-20,SWAS,Derriford Hospital,112,100.00%,27,24.11%,2,1.79%,0,0.00%,0,0.00%,3.27,0.23,0,42.27,10.08,21.9,18.82,0.03,,,,,
29-Jul-20,SWAS,Derriford Hospital,122,100.00%,32,26.23%,26,21.31%,16,13.11%,4,3.28%,24.35,17.42,6.79,145.17,20.34,65.1,41.37,0.2,,,,,
30-Jul-20,SWAS,Derriford Hospital,118,100.00%,45,38.14%,31,26.27%,9,7.63%,1,0.85%,20.55,11.53,2.13,92.2,19.69,55.58,38.73,0.17,,,,,
31-Jul-20,SWAS,Derriford Hospital,121,100.00%,56,46.28%,33,27.27%,11,9.09%,2,1.65%,23.54,13.26,2.91,98.8,22.03,57.3,44.44,0.19,,,,,
01-Aug-20,SWAS,Derriford Hospital,122,100.00%,71,58.20%,53,43.44%,18,14.75%,4,3.28%,35.96,21.09,5.24,102.93,29.26,69.8,59.5,0.29,,,,,
02-Aug-20,SWAS,Derriford Hospital,121,100.00%,59,48.76%,26,21.49%,2,1.65%,0,0.00%,15.35,5.51,0.38,75.15,18.84,44.08,37.99,0.13,,,,,
03-Aug-20,SWAS,Derriford Hospital,115,100.00%,49,42.61%,37,32.17%,28,24.35%,20,17.39%,57.3,46.6,30.28,177.38,39.29,145.55,75.31,0.5,,,,,
04-Aug-20,SWAS,Derriford Hospital,115,100.00%,38,33.04%,9,7.83%,3,2.61%,1,0.87%,9.15,3.21,0.99,107.42,13.78,29.25,26.41,0.08,,,,,
05-Aug-20,SWAS,Derriford Hospital,132,100.00%,58,43.94%,44,33.33%,27,20.45%,10,7.58%,42.01,29.56,12.11,133.88,28.71,84.92,63.15,0.32,,,,,
06-Aug-20,SWAS,Derriford Hospital,118,100.00%,45,38.14%,35,29.66%,24,20.34%,14,11.86%,40.56,30.84,16.96,192.55,30.93,98.02,60.83,0.34,,,,,
07-Aug-20,SWAS,Derriford Hospital,131,100.00%,60,45.80%,27,20.61%,11,8.40%,6,4.58%,25.73,15.21,6.43,127.62,22.53,50.15,49.18,0.2,,,,,
08-Aug-20,SWAS,Derriford Hospital,110,100.00%,29,26.36%,13,11.82%,1,0.91%,0,0.00%,8.02,3,0.04,62.25,13.22,31.18,24.24,0.07,,,,,
09-Aug-20,SWAS,Derriford Hospital,127,100.00%,39,30.71%,10,7.87%,1,0.79%,0,0.00%,8,2.58,0.19,71.52,12.14,27.65,25.7,0.06,,,,,
10-Aug-20,SWAS,Derriford Hospital,132,100.00%,67,50.76%,48,36.36%,28,21.21%,12,9.09%,46.1,32.35,13.71,147.18,32.04,84.68,70.5,0.35,,,,,
11-Aug-20,SWAS,Derriford Hospital,107,100.00%,38,35.51%,18,16.82%,2,1.87%,0,0.00%,9.89,3.59,0.03,61.4,15.84,37.87,28.25,0.09,,,,,
12-Aug-20,SWAS,Derriford Hospital,110,100.00%,61,55.45%,46,41.82%,39,35.45%,32,29.09%,74.23,60.82,39.86,215.97,51.91,128.85,95.17,0.67,,,,,
13-Aug-20,SWAS,Derriford Hospital,124,100.00%,87,70.16%,73,58.87%,43,34.68%,30,24.19%,79.74,60.19,32.57,173.03,51.38,113.48,106.2,0.64,,,,,
14-Aug-20,SWAS,Derriford Hospital,112,100.00%,36,32.14%,10,8.93%,1,0.89%,1,0.89%,9.7,4.1,0.82,109.23,14.43,29.22,26.93,0.09,,,,,
15-Aug-20,SWAS,Derriford Hospital,120,100.00%,57,47.50%,44,36.67%,41,34.17%,26,21.67%,71.47,59.4,37.69,224.72,46.5,141.33,93.01,0.6,,,,,
16-Aug-20,SWAS,Derriford Hospital,114,100.00%,58,50.88%,30,26.32%,15,13.16%,9,7.89%,31.32,20.43,10.57,151.53,27.9,83.62,53.02,0.27,,,,,
17-Aug-20,SWAS,Derriford Hospital,121,100.00%,63,52.07%,41,33.88%,24,19.83%,18,14.88%,48.28,35.43,19.06,186.3,34.96,107.15,70.51,0.4,,,,,
18-Aug-20,SWAS,Derriford Hospital,116,100.00%,58,50.00%,35,30.17%,22,18.97%,12,10.34%,37.55,26.3,12.29,138,31.1,91.9,60.14,0.32,,,,,
19-Aug-20,SWAS,Derriford Hospital,122,100.00%,47,38.52%,25,20.49%,18,14.75%,10,8.20%,34.34,25.93,15.71,222.2,26.57,85,54.02,0.28,,,,,
20-Aug-20,SWAS,Derriford Hospital,132,100.00%,70,53.03%,52,39.39%,29,21.97%,17,12.88%,56.21,41.14,21.89,196.25,37.03,98.58,81.46,0.43,,,,,
21-Aug-20,SWAS,Derriford Hospital,117,100.00%,45,38.46%,17,14.53%,0,0.00%,0,0.00%,11.34,4.13,0,59.17,16.55,39.47,32.27,0.1,,,,,
22-Aug-20,SWAS,Derriford Hospital,116,100.00%,25,21.55%,8,6.90%,0,0.00%,0,0.00%,5.38,1.35,0,56.72,11.57,27.42,22.37,0.05,,,,,
23-Aug-20,SWAS,Derriford Hospital,115,100.00%,30,26.09%,7,6.09%,1,0.87%,0,0.00%,5.71,1.94,0.38,82.95,11.99,23.78,22.98,0.05,,,,,
