Month Year,Ambulance Trust,Hospital Name,Count of Handovers at Hospital,Handover Compliance,Count of Handovers Over 15 Minutes,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
Apr-20,WMAS,Birmingham Childrens,623,88.12%,151,24.24%,12,1.93%,0,0.00%,0,0.00%,12.76,1.26,0,45,12.3,18.51,127.66,0.02
Apr-20,NWAS,Blackpool Victoria,"1,642",74.06%,828,50.43%,124,7.55%,5,0.30%,0,0.00%,115.82,18.37,0.64,76.18,17.1,27.84,467.94,0.07
Apr-20,EMAS,Boston Pilgrim Hospital,"1,429",100.00%,"1,026",71.80%,242,16.93%,37,2.59%,18,1.26%,557.97,144.37,37.26,195.07,22.8,38.66,542.97,0.39
Apr-20,YAS,Bradford Royal Infirmary,"1,863",79.41%,684,36.71%,144,7.73%,12,0.64%,1,0.05%,112.76,26.51,2.51,101.42,13.65,27.26,423.74,0.06
Apr-20,SWAS,Bristol Royal Infirmary,"1,727",100.00%,656,37.98%,154,8.92%,7,0.41%,0,0.00%,106.94,22.65,1.1,76.32,14.33,28.17,412.38,0.06
Apr-20,EEAST,Broomfield Hospital,"1,719",94.19%,"1,374",79.93%,268,15.59%,32,1.86%,8,0.47%,238.32,58.6,15.74,383.08,22.75,34.69,651.76,0.14
Apr-20,WMAS,Burton,969,93.17%,671,69.25%,45,4.64%,3,0.31%,0,0.00%,67.86,5.75,0.67,82.32,18.54,24.59,299.38,0.07
Apr-20,EMAS,Burton Queens Hospital,409,100.00%,295,72.13%,45,11.00%,4,0.98%,1,0.24%,131.48,23.79,1.47,102.63,20.74,30.62,141.4,0.32
Apr-20,YAS,Calderdale Royal Hospital,574,52.76%,126,21.95%,31,5.40%,0,0.00%,0,0.00%,20.96,4.5,0,57.93,9.54,21.69,91.29,0.04
Apr-20,LAS,Charing Cross,"1,163",95.25%,639,54.94%,37,3.18%,0,0.00%,0,0.00%,64.34,3.08,0,44.93,16.27,24.79,315.41,0.06
Apr-20,LAS,Chelsea & Westminster,"1,000",95.06%,543,54.30%,16,1.60%,1,0.10%,1,0.10%,52.65,1.94,0.14,68.5,16.47,23.72,274.57,0.05
Apr-20,SWAS,Cheltenham General Hospital,598,100.00%,166,27.76%,24,4.01%,1,0.17%,0,0.00%,22.97,4.51,0.04,62.32,12.1,23.36,120.64,0.04
Apr-20,EMAS,Chesterfield Royal Hospital,"1,948",100.00%,"1,578",81.01%,453,23.25%,15,0.77%,1,0.05%,793.26,190.08,5.72,93.1,23.73,36.17,770.39,0.41
Apr-20,WMAS,City (Birmingham),"1,328",87.60%,527,39.68%,40,3.01%,0,0.00%,0,0.00%,49.96,3.15,0,48.6,14.84,22.24,328.53,0.04
Apr-20,EEAST,Colchester General Hospital,"2,042",94.54%,"1,513",74.09%,158,7.74%,8,0.39%,1,0.05%,187.88,21.94,1.85,127.75,19.37,28.55,659.27,0.09
Apr-20,SECAmb,Conquest Hospital,"1,055",78.50%,895,84.83%,238,22.56%,7,0.66%,0,0.00%,168.22,33.55,0.67,73.68,23.95,35.4,421.16,0.16
Apr-20,NWAS,Countess Of Chester,262,26.44%,142,54.20%,32,12.21%,2,0.76%,0,0.00%,23.37,5.54,0.63,88.67,18.44,30.53,80.53,0.09
Apr-20,WMAS,County Hospital (Stafford),715,94.45%,191,26.71%,10,1.40%,0,0.00%,0,0.00%,15.08,1.86,0,59,13.39,18.31,159.6,0.02
Apr-20,LAS,Croydon University (Mayday),"1,928",96.54%,"1,583",82.11%,252,13.07%,19,0.99%,19,0.99%,248.49,41.9,6.93,175.37,22.14,32.13,711.35,0.13
Apr-20,NWAS,Cumberland Infirmary,616,61.48%,443,71.92%,116,18.83%,4,0.65%,0,0.00%,82.49,18.55,0.8,88.03,22,36.03,225.91,0.13
Apr-20,SECAmb,Darent Valley Hospital,"1,618",89.20%,"1,100",67.99%,209,12.92%,10,0.62%,1,0.06%,165.64,30.3,2.41,90.3,20.04,31.43,540.38,0.1
Apr-20,NEAS,Darlington Memorial A&E,966,91.56%,339,35.09%,36,3.73%,3,0.31%,0,0.00%,38.26,13.98,2.33,62.75,14.09,48.95,226.8,0.04
Apr-20,SWAS,Derriford Hospital,"2,653",100.00%,670,25.25%,114,4.30%,9,0.34%,1,0.04%,102.63,21.8,1.52,104.1,11.45,22.71,506.22,0.04
Apr-20,YAS,Doncaster Royal Infirmary,"1,390",79.70%,475,34.17%,91,6.55%,6,0.43%,1,0.07%,74.26,15.97,2.03,124.43,12.54,26.09,290.4,0.05
Apr-20,SWAS,Dorset County Hospital,"1,076",100.00%,129,11.99%,30,2.79%,6,0.56%,0,0.00%,24.56,8.23,1.23,88.42,8.42,16.77,150.97,0.02
Apr-20,LAS,Ealing,"1,071",93.62%,537,50.14%,105,9.80%,20,1.87%,20,1.87%,92.74,28.29,8.29,146.87,17.62,28.91,314.5,0.09
Apr-20,SECAmb,East Surrey Hospital,"2,257",97.62%,"1,653",73.24%,203,8.99%,0,0.00%,0,0.00%,206.92,19.94,0,59.1,19.71,28.89,741.25,0.09
Apr-20,SECAmb,Eastbourne Dgh,"1,079",77.74%,949,87.95%,309,28.64%,10,0.93%,0,0.00%,195.22,45.23,1.56,83.78,25.48,38.11,458.3,0.18
Apr-20,SECAmb,Epsom Hospital,884,91.42%,581,65.72%,61,6.90%,3,0.34%,0,0.00%,69.72,8.2,0.25,67.98,18.68,26.97,275.17,0.08
Apr-20,NWAS,Fairfield General,771,50.69%,509,66.02%,141,18.29%,7,0.91%,1,0.13%,95.36,22.99,2.19,138.15,21.05,34.68,270.51,0.12
Apr-20,SCAS,Frimley Park Hospital,482,88.44%,294,61.00%,28,5.81%,3,0.62%,1,0.21%,36.96,6.27,0.95,94.62,18.33,26.11,147.24,0.08
Apr-20,SECAmb,Frimley Park Hospital,"1,504",95.25%,"1,087",72.27%,145,9.64%,11,0.73%,0,0.00%,148,24.91,2.04,83.03,20.16,29.85,505.28,0.1
Apr-20,NWAS,Furness General,421,68.23%,271,64.37%,79,18.76%,17,4.04%,7,1.66%,65.7,26.55,8.3,126.55,23.01,43.51,161.43,0.16
Apr-20,WMAS,George Elliot,"1,005",90.62%,758,75.42%,72,7.16%,1,0.10%,0,0.00%,91.04,6.52,0.03,61.6,19.75,27.6,330.89,0.09
Apr-20,EMAS,Glenfield General Hospital,"1,093",100.00%,723,66.15%,224,20.49%,26,2.38%,6,0.55%,369.22,118.05,17.1,206.6,22.42,37.96,408.5,0.34
Apr-20,SWAS,Gloucester Royal Hospital,"2,601",100.00%,781,30.03%,119,4.58%,6,0.23%,1,0.04%,108.1,17.89,1.29,105.95,12.45,24.3,539.51,0.04
Apr-20,WMAS,Good Hope,"1,626",79.43%,"1,292",79.46%,272,16.73%,11,0.68%,0,0.00%,215.75,38.89,1.96,88.23,22.37,33.16,606.17,0.13
Apr-20,SWAS,Great Western Hospital,"1,866",100.00%,443,23.74%,84,4.50%,9,0.48%,1,0.05%,69.33,16.57,2.02,102.3,11.22,22.75,348.93,0.04
Apr-20,EMAS,Grimsby Diana Princess Of Wales,"1,545",100.00%,840,54.37%,155,10.03%,10,0.65%,0,0.00%,447.45,69.75,3.79,88.75,17.69,29.23,455.62,0.29
Apr-20,YAS,Harrogate District Hospital,355,46.34%,123,34.65%,22,6.20%,1,0.28%,0,0.00%,17.68,2.67,0.16,69.87,13.72,23.42,81.2,0.05
Apr-20,WMAS,Heartlands,"2,326",87.61%,"1,611",69.26%,254,10.92%,9,0.39%,2,0.09%,239.57,35.36,2.99,133.13,20.11,30.79,779.52,0.1
Apr-20,WMAS,Hereford County,998,85.37%,686,68.74%,84,8.42%,2,0.20%,0,0.00%,88.52,9.43,0.17,69.35,19.39,28.18,322.47,0.09
Apr-20,LAS,Hillingdon,"1,522",95.90%,727,47.77%,110,7.23%,4,0.26%,4,0.26%,97.11,15.79,1.43,82.93,16.2,26.47,410.84,0.06
Apr-20,EEAST,Hinchingbrooke Hospital,693,87.39%,467,67.39%,77,11.11%,2,0.29%,1,0.14%,67.99,10.33,1.74,146.55,19.01,29.7,219.56,0.1
Apr-20,LAS,Homerton,935,94.44%,435,46.52%,27,2.89%,1,0.11%,1,0.11%,35.15,2.78,0.1,66.12,14.85,21.78,231.38,0.04
Apr-20,SCAS,Horton General Hospital,270,49.63%,69,25.56%,6,2.22%,1,0.37%,0,0.00%,8.59,1.3,0.03,61.53,12.89,16.3,58.01,0.03
Apr-20,YAS,Huddersfield Royal Infirmary,696,54.00%,196,28.16%,44,6.32%,0,0.00%,0,0.00%,31.66,5.76,0,53.95,10.92,24.41,126.69,0.05
Apr-20,YAS,Hull Royal Infirmary,"2,362",85.83%,"1,164",49.28%,247,10.46%,19,0.80%,6,0.25%,203.63,51.97,8.15,214.9,17.08,30.28,672.38,0.09
Apr-20,EEAST,Ipswich Hospital,"1,675",89.14%,"1,035",61.79%,192,11.46%,12,0.72%,1,0.06%,161.82,29.22,2.15,101.7,18.66,31.71,520.89,0.1
Apr-20,NEAS,James Cook A&E,666,39.67%,419,62.91%,59,8.86%,5,0.75%,0,0.00%,56.11,24.18,4.25,77.8,18.21,53.73,202.12,0.08
Apr-20,EEAST,James Paget Hospital,"1,462",96.89%,668,45.69%,70,4.79%,14,0.96%,5,0.34%,82.71,20.01,4.85,110.67,16,26.43,389.82,0.06
Apr-20,SCAS,John Radcliffe Hospital,"1,286",55.48%,359,27.92%,32,2.49%,2,0.16%,0,0.00%,33.96,3.96,0.39,73.4,12.97,17.23,278.04,0.03
Apr-20,EMAS,Kettering General Hospital,"2,075",100.00%,"1,562",75.28%,410,19.76%,18,0.87%,4,0.19%,713.52,166.55,12.88,240.72,22.44,35.7,776.07,0.34
Apr-20,LAS,"King Georges, Ilford","1,023",91.10%,808,78.98%,223,21.80%,1,0.10%,1,0.10%,138.72,20.26,0.09,65.28,22.18,32.56,378.24,0.14
Apr-20,LAS,Kings College,"1,842",96.44%,"1,510",81.98%,428,23.24%,7,0.38%,7,0.38%,286.31,52.26,1.16,84.07,23.7,35.65,727.65,0.16
Apr-20,EMAS,Kings Mill Hospital,"2,480",99.96%,"1,350",54.44%,128,5.16%,6,0.24%,2,0.08%,582.49,48.25,3.87,134.17,16.84,25.43,695.97,0.23
Apr-20,LAS,Kingston,"1,342",96.34%,900,67.06%,46,3.43%,0,0.00%,0,0.00%,94.3,4.16,0,46.77,18.07,25.97,404.09,0.07
Apr-20,YAS,Leeds General Infirmary,852,36.90%,211,24.77%,45,5.28%,1,0.12%,0,0.00%,33.51,5.8,0.04,62.4,9.29,23.15,131.88,0.04
Apr-20,EMAS,Leicester Royal Infirmary,"4,028",100.00%,"3,188",79.15%,834,20.71%,32,0.79%,4,0.10%,"1,925.18",423.69,15.36,171.67,23.1,35.31,"1,550.99",0.48
Apr-20,NWAS,Leighton,85,5.67%,40,47.06%,6,7.06%,0,0.00%,0,0.00%,5.24,0.84,0,50.28,16.65,24.34,23.59,0.06
Apr-20,LAS,Lewisham,"1,391",95.86%,"1,031",74.12%,179,12.87%,5,0.36%,5,0.36%,158.29,19.68,0.37,66.83,20.69,31.25,479.59,0.11
Apr-20,EMAS,Lincoln County Hospital,"2,078",100.00%,"1,433",68.96%,274,13.19%,27,1.30%,7,0.34%,766.56,142.22,19.09,178.33,20.61,32.23,713.62,0.37
Apr-20,EEAST,Lister Hospital,"1,468",79.70%,"1,166",79.43%,336,22.89%,42,2.86%,14,0.95%,257.31,84.28,20.01,162.48,24.34,41.46,595.49,0.18
Apr-20,EEAST,Luton And Dunstable Hospital,"1,654",73.87%,"1,387",83.86%,378,22.85%,40,2.42%,10,0.60%,291.01,83.42,19.78,192.32,24.84,40.14,684.68,0.18
Apr-20,NWAS,Macclesfield General,253,31.04%,174,68.77%,30,11.86%,0,0.00%,0,0.00%,25.91,4.31,0,57.35,20.14,31.91,84.92,0.1
Apr-20,SECAmb,Maidstone Hospital,"1,064",92.76%,497,46.71%,76,7.14%,2,0.19%,0,0.00%,65.94,12.02,0.28,76.53,16.31,26.34,289.27,0.06
Apr-20,NWAS,Manchester Royal Infirmary,"1,312",75.36%,803,61.20%,112,8.54%,3,0.23%,1,0.08%,104.35,14.85,0.9,100.92,18.33,28.28,400.71,0.08
Apr-20,SECAmb,Medway Maritime Hospital,"2,692",94.46%,"1,076",39.97%,241,8.95%,28,1.04%,8,0.30%,186.64,55.14,10.13,145.68,15.95,27.1,715.51,0.07
Apr-20,SCAS,Milton Keynes General Hospital,"1,049",66.99%,513,48.90%,28,2.67%,1,0.10%,1,0.10%,50.36,3.29,0.57,94.02,16.04,21.77,280.35,0.05
Apr-20,SWAS,Musgrove Park Hospital,"1,783",100.00%,343,19.24%,46,2.58%,0,0.00%,0,0.00%,39.79,4.91,0,47.37,10.85,19.49,322.41,0.02
Apr-20,WMAS,New Cross,"2,796",93.42%,"1,306",46.71%,40,1.43%,1,0.04%,0,0.00%,100.7,2.63,0.15,69.13,15.5,21.69,722.43,0.04
Apr-20,WMAS,New Queen Elizabeth Hosp,"3,231",84.01%,"2,223",68.80%,298,9.22%,13,0.40%,3,0.09%,309.18,41.52,4.11,119.52,19.69,29.85,"1,060.23",0.1
Apr-20,LAS,Newham,"1,292",92.42%,"1,067",82.59%,265,20.51%,4,0.31%,4,0.31%,173.25,21.57,0.92,92.28,22.16,32.22,477.27,0.13
Apr-20,EEAST,Norfolk & Norwich University Hospital,"3,133",95.17%,"2,087",66.61%,499,15.93%,48,1.53%,13,0.41%,394.69,110.68,24.17,194.82,21.17,36.32,"1,105.48",0.13
Apr-20,SWAS,North Devon District Hospital,990,100.00%,147,14.85%,23,2.32%,3,0.30%,1,0.10%,20.48,4.5,1.51,127,9.88,18.24,163.01,0.02
Apr-20,SCAS,North Hants Hospital,"1,046",82.82%,430,41.11%,54,5.16%,5,0.48%,0,0.00%,53.57,10.04,0.91,79.85,15.36,23.17,267.74,0.05
Apr-20,NWAS,North Manchester General,329,24.63%,214,65.05%,55,16.72%,1,0.30%,0,0.00%,38.71,7.73,0.08,65.07,20.53,34.17,112.55,0.12
Apr-20,LAS,North Middlesex,"2,220",94.83%,"1,801",81.13%,586,26.40%,38,1.71%,38,1.71%,394.27,105.69,15.13,167.75,24.84,39.16,919.17,0.18
Apr-20,EMAS,Northampton General Hospital,"2,422",100.00%,"1,377",56.85%,273,11.27%,25,1.03%,6,0.25%,716.82,135.46,13.35,106.45,18.72,31.41,755.72,0.3
Apr-20,YAS,Northern General Hospital,"2,428",85.40%,622,25.62%,73,3.01%,2,0.08%,0,0.00%,76.23,10.83,0.66,83.78,11.87,21.06,480.32,0.03
Apr-20,LAS,Northwick Park,"2,398",96.11%,"1,518",63.30%,484,20.18%,121,5.05%,121,5.05%,481.49,253.51,130.45,348.45,25.31,47.69,"1,011.63",0.2
Apr-20,EMAS,Nottingham City Hospital Campus,514,100.00%,329,64.01%,99,19.26%,10,1.95%,3,0.58%,157.59,48.84,5.73,175.08,21.47,36.78,183.95,0.31
Apr-20,NEAS,Nsec A&E,"2,208",82.42%,"1,285",58.20%,105,4.76%,2,0.09%,0,0.00%,139.12,36.08,1.6,64.27,16.97,53.36,624.33,0.06
Apr-20,EEAST,Peterborough City Hospital,"1,391",88.26%,"1,181",84.90%,457,32.85%,10,0.72%,0,0.00%,263.53,59.48,1,85,25.78,39.13,597.72,0.19
Apr-20,EMAS,Peterborough City Hospital,725,100.00%,591,81.52%,218,30.07%,8,1.10%,0,0.00%,314.86,91.38,1.91,79,25.44,39.44,307.46,0.43
Apr-20,YAS,Pinderfields General Hospital,"1,580",58.07%,306,19.37%,81,5.13%,11,0.70%,2,0.13%,62.99,21.37,3.75,96.83,9.21,21.48,242.54,0.04
Apr-20,SWAS,Poole Hospital,"1,578",100.00%,500,31.69%,95,6.02%,3,0.19%,0,0.00%,76.43,15.01,0.76,81.65,13.62,25.2,358.33,0.05
Apr-20,EEAST,Princess Alexandra Hospital,"1,191",84.77%,740,62.13%,142,11.92%,4,0.34%,1,0.08%,118.47,20.6,1.11,118.42,18.98,31.57,376.82,0.1
Apr-20,WMAS,Princess Royal,"1,103",81.16%,545,49.41%,59,5.35%,2,0.18%,0,0.00%,64.2,6.32,0.01,60.53,16.63,25.13,305.63,0.06
Apr-20,SECAmb,Princess Royal Hospital,493,82.03%,344,69.78%,83,16.84%,2,0.41%,0,0.00%,56.98,11.34,0.5,86.25,20.73,32.61,170.36,0.12
Apr-20,LAS,"Princess Royal, Farnborough","1,579",94.72%,831,52.63%,96,6.08%,0,0.00%,0,0.00%,97.93,11.63,0,59.97,16.62,26.14,437.43,0.06
Apr-20,SCAS,Queen Alexandra Hospital,"3,186",94.54%,896,28.12%,55,1.73%,5,0.16%,2,0.06%,80.23,10.86,2.38,136.2,13.35,19.26,708.73,0.03
Apr-20,NEAS,Queen Elizabeth Emrg Hub,"1,428",95.07%,624,43.70%,33,2.31%,4,0.28%,0,0.00%,53.86,13.85,3.83,78.67,14.47,49.28,344.46,0.04
Apr-20,EEAST,Queen Elizabeth Hospital,"1,240",87.32%,587,47.34%,85,6.85%,7,0.56%,3,0.24%,79.89,15.24,2.04,98.37,16.37,27.34,338.33,0.06
Apr-20,LAS,"Queen Elizabeth Ii, Woolwich","2,157",97.78%,949,44.00%,103,4.78%,4,0.19%,4,0.19%,101.18,14.24,0.9,96.35,15.62,23.94,561.7,0.05
Apr-20,SECAmb,Queen Elizabeth Queen Mother Hospital,"1,976",97.63%,966,48.89%,48,2.43%,0,0.00%,0,0.00%,83.88,3.28,0,54.05,15.57,22.96,512.63,0.04
Apr-20,EMAS,Queens Medical Centre Campus Hospital,"4,083",100.00%,"1,631",39.95%,278,6.81%,17,0.42%,6,0.15%,742.02,128.12,14.35,352.83,15.68,26.59,"1,067.00",0.18
Apr-20,LAS,"Queens, Romford - A&E","2,283",94.26%,"1,960",85.85%,779,34.12%,9,0.39%,9,0.39%,447.06,90.76,1.72,92.95,26.15,38.21,994.96,0.2
Apr-20,YAS,Rotherham District General Hos,"1,527",91.77%,587,38.44%,69,4.52%,3,0.20%,1,0.07%,73.27,10.56,0.79,99.13,14.21,24.25,361.7,0.05
Apr-20,NWAS,Royal Albert Edward Infirmary,"1,009",57.46%,771,76.41%,264,26.16%,18,1.78%,5,0.50%,176.42,54.85,7.26,116.8,24.58,41.42,413.34,0.17
Apr-20,SCAS,Royal Berkshire Hospital,"1,384",55.36%,647,46.75%,68,4.91%,2,0.14%,0,0.00%,72.01,8.86,0.26,68.92,15.96,20.59,368.16,0.05
Apr-20,NWAS,Royal Blackburn,"1,974",74.57%,"1,516",76.80%,382,19.35%,15,0.76%,1,0.05%,272.83,58.07,3.08,111.12,22.48,35.6,739.48,0.14
Apr-20,NWAS,Royal Bolton,"1,462",76.87%,929,63.54%,172,11.76%,8,0.55%,2,0.14%,148.07,29.05,2.35,124.13,19.52,30.93,475.52,0.1
Apr-20,SWAS,Royal Bournemouth Hospital,"1,552",100.00%,480,30.93%,100,6.44%,9,0.58%,3,0.19%,81.9,21.04,3.95,120.28,13.85,25.18,358.16,0.05
Apr-20,EMAS,Royal Derby Hospital,"3,330",100.00%,"2,459",73.84%,508,15.26%,23,0.69%,2,0.06%,"1,217.00",221.96,9.71,106.2,21.73,33.36,"1,205.90",0.37
Apr-20,SWAS,Royal Devon And Exeter Wonford,"2,058",100.00%,355,17.25%,33,1.60%,2,0.10%,0,0.00%,40.69,5.07,0.12,66.97,9.94,18.24,340.94,0.02
Apr-20,LAS,Royal Free,"1,439",92.48%,"1,082",75.19%,285,19.81%,21,1.46%,21,1.46%,210.29,51.95,10.09,220.2,22.45,34.79,538.5,0.15
Apr-20,SCAS,Royal Hampshire County Hospital,831,76.87%,395,47.53%,40,4.81%,1,0.12%,0,0.00%,45.37,5.56,0.05,63.02,16.32,22.83,226.03,0.05
Apr-20,NWAS,Royal Lancaster Infirmary,655,57.81%,533,81.37%,192,29.31%,7,1.07%,0,0.00%,121.58,34.44,1.48,89.03,25.56,40.46,279.03,0.19
Apr-20,NWAS,Royal Liverpool University,845,46.23%,346,40.95%,60,7.10%,3,0.36%,0,0.00%,50.55,10.12,0.41,81.83,15.52,26.76,218.51,0.06
Apr-20,LAS,Royal London (Whitechapel),"1,384",88.89%,"1,075",77.67%,285,20.59%,8,0.58%,8,0.58%,188.31,29.47,0.9,80,21.95,33.43,506.41,0.14
Apr-20,NWAS,Royal Oldham,657,39.18%,547,83.26%,168,25.57%,10,1.52%,3,0.46%,118.64,31.57,3.92,153.15,25.3,40.09,277.01,0.18
Apr-20,NWAS,Royal Preston,"1,778",82.51%,"1,096",61.64%,277,15.58%,41,2.31%,15,0.84%,220.5,72.76,19.2,152.68,20.94,37.13,620.47,0.12
Apr-20,WMAS,Royal Shrewsbury,"1,181",87.42%,464,39.29%,45,3.81%,0,0.00%,0,0.00%,45.52,3.59,0,50,15.03,22.11,295.77,0.04
Apr-20,WMAS,Royal Stoke Univ Hosp,"2,869",78.07%,"1,700",59.25%,288,10.04%,1,0.03%,0,0.00%,235.32,34.04,0.43,85.75,18.5,29.49,884.56,0.08
Apr-20,SECAmb,Royal Surrey County Hospital,"1,038",93.68%,587,56.55%,64,6.17%,0,0.00%,0,0.00%,70.04,7.45,0,55.7,17.44,26.18,301.64,0.07
Apr-20,SECAmb,Royal Sussex County Hospital,"1,960",84.37%,"1,283",65.46%,330,16.84%,16,0.82%,3,0.15%,233.31,54.5,3.77,108.25,20.8,34.08,679.53,0.12
Apr-20,SWAS,Royal United Hospital  Bath,"1,787",100.00%,567,31.73%,111,6.21%,4,0.22%,0,0.00%,88.22,19.04,0.32,67.7,13.83,24.89,411.76,0.05
Apr-20,WMAS,Russells Hall,"2,419",89.03%,"1,577",65.19%,229,9.47%,9,0.37%,7,0.29%,221.93,31.28,5.96,129.7,19.29,29.64,777.61,0.09
Apr-20,NEAS,Rvi A&E,"1,521",77.84%,588,38.66%,44,2.89%,0,0.00%,0,0.00%,52.49,16.05,0,49.45,14,51.23,354.8,0.03
Apr-20,NWAS,Salford Royal,"1,246",75.93%,788,63.24%,177,14.21%,2,0.16%,0,0.00%,127.26,22.47,0.16,68.3,19.72,32.19,409.44,0.1
Apr-20,SWAS,Salisbury District Hospital,893,100.00%,157,17.58%,22,2.46%,2,0.22%,1,0.11%,21.25,4.06,0.57,91.4,9.94,19.36,147.92,0.02
Apr-20,WMAS,Sandwell,"1,655",88.08%,"1,058",63.93%,112,6.77%,4,0.24%,0,0.00%,123.76,13.34,0.16,63.37,18.39,27.42,507.21,0.07
Apr-20,YAS,Scarborough District General Hospital,"1,168",91.46%,375,32.11%,85,7.28%,5,0.43%,0,0.00%,62.68,14.27,0.7,75.88,13.08,26.59,254.66,0.05
Apr-20,EMAS,Scunthorpe General Hospital,"1,331",100.00%,623,46.81%,102,7.66%,3,0.23%,0,0.00%,323.91,43.51,0.8,67.07,16.38,27.65,363.41,0.24
Apr-20,WMAS,Solihull,530,93.97%,201,37.92%,5,0.94%,0,0.00%,0,0.00%,13.99,0.76,0,50.72,14.27,19.44,126.05,0.03
Apr-20,NEAS,South Tyneside Hosp A&E,488,48.41%,311,63.73%,49,10.04%,1,0.20%,0,0.00%,45.03,20.06,0.92,70.4,18.85,54.11,153.28,0.09
Apr-20,SCAS,Southampton General Hospital,"2,381",79.87%,725,30.45%,56,2.35%,2,0.08%,1,0.04%,72.57,7.67,0.79,97.08,13.57,20.02,538.66,0.03
Apr-20,EEAST,Southend University Hospital,"1,658",83.82%,"1,222",73.70%,227,13.69%,16,0.97%,3,0.18%,200.51,43.8,4.94,114.1,21.07,33.53,582.15,0.12
Apr-20,SWAS,Southmead Hospital,"2,389",100.00%,"1,008",42.19%,143,5.99%,6,0.25%,0,0.00%,129.54,21.09,1.26,88.02,15.12,25.6,602.08,0.05
Apr-20,NWAS,Southport District General,768,72.32%,451,58.72%,63,8.20%,0,0.00%,0,0.00%,59.9,7.1,0,59.62,17.96,27.82,229.86,0.08
Apr-20,LAS,"St Georges, Tooting","1,601",91.49%,"1,129",70.52%,271,16.93%,9,0.56%,9,0.56%,196.7,35.42,3.05,157.7,21.04,33.56,561.41,0.12
Apr-20,LAS,St Helier,"1,089",95.86%,777,71.35%,71,6.52%,1,0.09%,1,0.09%,93.54,7.8,0.17,70.22,19.05,27.56,345.82,0.09
Apr-20,YAS,St James University Hospital,642,39.63%,140,21.81%,25,3.89%,2,0.31%,1,0.16%,20.32,4.2,0.59,93.5,9.78,20.51,104.64,0.03
Apr-20,IOW,St Mary'S Hospital,366,49.26%,400,109.29%,73,19.95%,14,3.83%,5,1.37%,70.59,21.28,5.6,182.52,34.56,29.3,210.82,0.19
Apr-20,LAS,"St Marys, W2","1,436",93.13%,"1,099",76.53%,278,19.36%,5,0.35%,5,0.35%,190.36,29.61,0.25,67.72,22.14,33.73,530,0.13
